16	1.62439e-06	3.24877e-06	4.87316e-06	6.49754e-06
16	1.11326e-06	2.22652e-06	3.33978e-06	4.45305e-06
16	6.45818e-07	1.29164e-06	1.93746e-06	2.58327e-06
16	4.9274e-07	9.8548e-07	1.47822e-06	1.97096e-06
196	0.000199504	0.000399009	0.000598513	0.000798018
196	0.000101988	0.000203975	0.000305963	0.00040795
196	5.6239e-05	0.000112478	0.000168717	0.000224956
196	3.46875e-05	6.9375e-05	0.000104063	0.00013875
576	0.00125015	0.00250029	0.00375044	0.00500058
576	0.000592752	0.0011855	0.00177826	0.00237101
576	0.000265415	0.000530831	0.000796246	0.00106166
576	0.00010497	0.000209939	0.000314909	0.000419878
1156	0.00501344	0.0100269	0.0150403	0.0200538
1156	0.00229408	0.00458816	0.00688224	0.00917632
1156	0.00109071	0.00218141	0.00327212	0.00436283
1156	0.000464139	0.000928278	0.00139242	0.00185656
1936	0.0131755	0.026351	0.0395266	0.0527021
1936	0.00596348	0.011927	0.0178905	0.0238539
1936	0.00269909	0.00539818	0.00809727	0.0107964
1936	0.000865607	0.00173121	0.00259682	0.00346243
2916	0.029736	0.0594719	0.0892079	0.118944
2916	0.0136825	0.027365	0.0410474	0.0547299
2916	0.00634848	0.012697	0.0190455	0.0253939
2916	0.00234677	0.00469354	0.0070403	0.00938707
2916	0.0306687	0.0613373	0.092006	0.122675
2916	0.0142207	0.0284414	0.042662	0.0568827
2916	0.00672374	0.0134475	0.0201712	0.026895
2916	0.00271046	0.00542092	0.00813137	0.0108418
5476	0.102757	0.205515	0.308272	0.411029
5476	0.0467144	0.0934287	0.140143	0.186857
5476	0.0214843	0.0429687	0.064453	0.0859374
5476	0.00713947	0.0142789	0.0214184	0.0285579
7056	0.163437	0.326874	0.490311	0.653748
7056	0.0732029	0.146406	0.219609	0.292812
7056	0.0339743	0.0679486	0.101923	0.135897
7056	0.0105307	0.0210613	0.031592	0.0421226
8836	0.256346	0.512692	0.769038	1.02538
8836	0.109872	0.219743	0.329615	0.439487
8836	0.0522435	0.104487	0.15673	0.208974
8836	0.0166452	0.0332904	0.0499356	0.0665807
10816	0.378306	0.756612	1.13492	1.51322
10816	0.172504	0.345008	0.517512	0.690017
10816	0.0786062	0.157212	0.235819	0.314425
10816	0.0239606	0.0479212	0.0718817	0.0958423
